Country,Scenario,Year,Technology,Mode,Powertrain,Metal,Metal_demand_t
Canada,Current Measures,2024,Vehicle battery,2 and 3 wheelers,BEV,Aluminum,0.023664039894334216
Canada,Current Measures,2024,Vehicle battery,2 and 3 wheelers,BEV,Cobalt,0.7837937962471425
Canada,Current Measures,2024,Vehicle battery,2 and 3 wheelers,BEV,Copper,0.25154466557419214
Canada,Current Measures,2024,Vehicle battery,2 and 3 wheelers,BEV,Lithium,0.06554209720510158
Canada,Current Measures,2024,Vehicle battery,2 and 3 wheelers,BEV,Manganese,0.7611499018784831
Canada,Current Measures,2024,Vehicle battery,2 and 3 wheelers,BEV,Nickel,0.0714
Canada,Current Measures,2024,Vehicle battery,Buses,BEV,Cobalt,13.61158510772057
Canada,Current Measures,2024,Vehicle battery,Buses,BEV,Copper,19.97560851705846
Canada,Current Measures,2024,Vehicle battery,Buses,BEV,Lithium,23.553297845589395
Canada,Current Measures,2024,Vehicle battery,Buses,BEV,Manganese,9.987804258529223
Canada,Current Measures,2024,Vehicle battery,Buses,BEV,Nickel,35.51219715259817
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Aluminum,237.86357460544903
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Cobalt,7878.451649059207
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Copper,2528.4488022155174
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Lithium,658.8087916499811
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Manganese,7650.842260232615
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Nickel,717.69061
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Cobalt,0.0
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Copper,0.0
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Lithium,0.0
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Manganese,0.0
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Cobalt,153.34719595187502
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Copper,497.26689740897547
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Graphite,66.90629153523474
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Lithium,183.5281629999998
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Manganese,60.922621631470484
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Nickel,811.4909494841878
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Cobalt,1127.731493247599
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Copper,1654.9962875884517
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Lithium,1951.4109150480926
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Manganese,827.4981437942253
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Nickel,2942.2159731188904
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Manganese,129.31126941815688
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Nickel,77.99730493687852
Canada,Current Measures,2024,Vehicle battery,Trucks,BEV,Cobalt,151.23983453022856
Canada,Current Measures,2024,Vehicle battery,Trucks,BEV,Copper,221.951205745094
Canada,Current Measures,2024,Vehicle battery,Trucks,BEV,Lithium,261.7033093954377
Canada,Current Measures,2024,Vehicle battery,Trucks,BEV,Manganese,110.97560287254693
Canada,Current Measures,2024,Vehicle battery,Trucks,BEV,Nickel,394.57996836220195
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Aluminum,15.889671987813397
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Cobalt,526.2933287833074
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Copper,168.9044746419273
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Lithium,44.00949417904732
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Manganese,511.0886530114905
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Nickel,47.942895
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Cobalt,0.0
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Copper,0.0
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Lithium,0.0
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Manganese,0.0
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Cobalt,10.243841025125256
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Copper,33.21823403744168
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Graphite,4.469448624823373
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Lithium,12.259978499999988
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Manganese,4.0697297850982315
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Nickel,54.20890958092754
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Cobalt,75.33429003475864
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Copper,110.55643216683988
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Lithium,130.3574093048321
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Manganese,55.2782160834199
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Nickel,196.54479172656553
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Manganese,8.6382022080955
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Nickel,5.210346281208484
Canada,Current Measures,2024,Vehicle battery,Buses,FCEV,Cobalt,0.09830589244464857
Canada,Current Measures,2024,Vehicle battery,Buses,FCEV,Copper,0.1442682837343111
Canada,Current Measures,2024,Vehicle battery,Buses,FCEV,Lithium,0.17010715110703453
Canada,Current Measures,2024,Vehicle battery,Buses,FCEV,Manganese,0.0721341418671555
Canada,Current Measures,2024,Vehicle battery,Buses,FCEV,Nickel,0.25647697943543124
Canada,Current Measures,2024,Vehicle battery,Cars,FCEV,Aluminum,0.0006741072964526895
Canada,Current Measures,2024,Vehicle battery,Cars,FCEV,Cobalt,0.022327595766564554
