"","Scenario","Year","Unit","Variable","Value"
"1","Current Measures","2005","Megatonnes","Total",726.676389858023
"2","Current Measures","2006","Megatonnes","Total",705.9536556105
"3","Current Measures","2007","Megatonnes","Total",731.193600372274
"4","Current Measures","2008","Megatonnes","Total",709.42526213936
"5","Current Measures","2009","Megatonnes","Total",640.754212362474
"6","Current Measures","2010","Megatonnes","Total",683.694543186685
"7","Current Measures","2011","Megatonnes","Total",699.362068102402
"8","Current Measures","2012","Megatonnes","Total",695.182800178982
"9","Current Measures","2013","Megatonnes","Total",703.363108084667
"10","Current Measures","2014","Megatonnes","Total",680.879488179281
"11","Current Measures","2015","Megatonnes","Total",722.940317196629
"12","Current Measures","2016","Megatonnes","Total",693.969938068246
"13","Current Measures","2017","Megatonnes","Total",696.005530999964
"14","Current Measures","2018","Megatonnes","Total",713.321329181956
"15","Current Measures","2019","Megatonnes","Total",704.858189434808
"16","Current Measures","2020","Megatonnes","Total",645.400501270509
"17","Current Measures","2021","Megatonnes","Total",653.125114018173
"18","Current Measures","2022","Megatonnes","Total",671.863305436461
"19","Current Measures","2023","Megatonnes","Total",679.156646293249
"20","Current Measures","2024","Megatonnes","Total",667.190133115378
"21","Current Measures","2025","Megatonnes","Total",653.629609292164
"22","Current Measures","2026","Megatonnes","Total",648.95614086186
"23","Current Measures","2027","Megatonnes","Total",645.078919313886
"24","Current Measures","2028","Megatonnes","Total",636.720624664357
"25","Current Measures","2029","Megatonnes","Total",625.408104019304
"26","Current Measures","2030","Megatonnes","Total",612.566791813302
"27","Current Measures","2031","Megatonnes","Total",607.089600181884
"28","Current Measures","2032","Megatonnes","Total",600.46560503119
"29","Current Measures","2033","Megatonnes","Total",595.52770974955
"30","Current Measures","2034","Megatonnes","Total",585.209893616898
"31","Current Measures","2035","Megatonnes","Total",582.178170413632
"32","Current Measures","2036","Megatonnes","Total",578.638496735121
"33","Current Measures","2037","Megatonnes","Total",576.156218542094
"34","Current Measures","2038","Megatonnes","Total",573.986580844589
"35","Current Measures","2039","Megatonnes","Total",571.882972044573
"36","Current Measures","2040","Megatonnes","Total",570.312871850754
"37","Current Measures","2041","Megatonnes","Total",567.430969056074
"38","Current Measures","2042","Megatonnes","Total",565.678564311166
"39","Current Measures","2043","Megatonnes","Total",563.122477708473
"40","Current Measures","2044","Megatonnes","Total",561.03555057137
"41","Current Measures","2045","Megatonnes","Total",559.654745383213
"42","Current Measures","2046","Megatonnes","Total",560.300217657804
"43","Current Measures","2047","Megatonnes","Total",561.169675078959
"44","Current Measures","2048","Megatonnes","Total",562.363227357606
"45","Current Measures","2049","Megatonnes","Total",564.345734070504
"46","Current Measures","2050","Megatonnes","Total",566.447134388071
"47","Current Measures","2005","Megatonnes","Oil and Gas",168.33486843594
"48","Current Measures","2006","Megatonnes","Oil and Gas",174.649541976679
"49","Current Measures","2007","Megatonnes","Oil and Gas",179.819385240128
"50","Current Measures","2008","Megatonnes","Oil and Gas",176.549130245942
"51","Current Measures","2009","Megatonnes","Oil and Gas",173.776286903663
"52","Current Measures","2010","Megatonnes","Oil and Gas",179.321067908458
"53","Current Measures","2011","Megatonnes","Oil and Gas",184.798891637198
"54","Current Measures","2012","Megatonnes","Oil and Gas",192.142087842338
"55","Current Measures","2013","Megatonnes","Oil and Gas",196.832330324399
"56","Current Measures","2014","Megatonnes","Oil and Gas",202.380855579713
"57","Current Measures","2015","Megatonnes","Oil and Gas",203.054971864198
"58","Current Measures","2016","Megatonnes","Oil and Gas",191.457730866978
"59","Current Measures","2017","Megatonnes","Oil and Gas",194.020576359521
"60","Current Measures","2018","Megatonnes","Oil and Gas",202.493210939097
"61","Current Measures","2019","Megatonnes","Oil and Gas",201.3172403591
"62","Current Measures","2020","Megatonnes","Oil and Gas",183.354026811475
"63","Current Measures","2021","Megatonnes","Oil and Gas",189.152351451341
"64","Current Measures","2022","Megatonnes","Oil and Gas",191.42340744138
"65","Current Measures","2023","Megatonnes","Oil and Gas",192.629084151123
"66","Current Measures","2024","Megatonnes","Oil and Gas",188.032306416892
"67","Current Measures","2025","Megatonnes","Oil and Gas",187.38063410913
"68","Current Measures","2026","Megatonnes","Oil and Gas",186.506188642604
"69","Current Measures","2027","Megatonnes","Oil and Gas",183.298788190321
"70","Current Measures","2028","Megatonnes","Oil and Gas",180.581023029737
"71","Current Measures","2029","Megatonnes","Oil and Gas",176.808928500272
"72","Current Measures","2030","Megatonnes","Oil and Gas",174.362604511163
